CustomerId,CreditScore,Tenure,Balance,Products,CreditCard,ActiveMember,Exited
10000078,709,3,22442.47,2,0,0,1
10000079,568,3,6464.77,1,1,1,0
10000080,432,5,61157.27,1,1,1,0
10000081,491,3,71424.21,1,1,1,0
10000082,544,3,71702.99,2,1,1,0
10000083,683,4,0,2,1,0,0
10000084,643,10,32066.31,1,1,0,0
10000085,742,6,31616.04,1,1,1,0
10000086,563,0,68547.99,2,0,1,0
10000087,619,6,0,1,1,1,0
10000088,819,6,22856.36,2,0,0,1
10000089,618,5,0,2,1,1,0
10000090,672,7,37597.6,2,1,1,0
10000091,587,3,0,1,0,1,0
10000092,629,5,0,2,0,0,1
10000093,696,5,0,1,1,0,0
10000094,714,3,57176.26,1,1,1,0
10000095,662,2,59397.41,1,1,0,0
10000096,625,5,21466.2,2,1,1,0
10000097,663,6,60108.67,1,1,0,0
10000098,579,0,18237.5,2,1,1,0
10000099,630,4,55822.57,2,1,0,0
10000100,683,4,20184.71,1,1,1,0
10000101,746,6,10440.92,2,0,0,0
10000102,562,7,54491.9,1,0,0,1
10000103,633,4,61690.11,2,0,0,1
10000104,553,7,27451.52,1,1,0,0
10000105,608,1,0,2,0,1,0
10000106,747,9,48413.72,2,0,1,0
10000107,599,5,71764.57,2,0,1,0
10000108,641,1,50361.06,2,1,1,0
10000109,531,7,0,1,1,1,0
10000110,596,4,0,1,1,0,0
10000111,501,10,4002.92,2,1,0,0
10000112,677,10,27569.91,1,1,1,0
10000113,686,8,39882.08,1,1,1,0
10000114,683,0,58094.91,1,0,0,1
10000115,689,4,61043.3,1,1,0,0
10000116,683,9,71687.21,2,1,1,0
10000117,503,7,56655.96,2,1,0,0
10000118,574,2,0,1,1,0,0
10000119,434,5,0,2,0,1,0
10000120,606,7,21241.53,2,1,1,0
10000121,566,0,19216.88,1,1,0,0
10000122,647,1,28879.49,2,1,1,0
10000123,850,10,69967.03,1,1,1,0
10000124,726,4,56060.89,1,1,1,0
10000125,798,0,0,1,1,1,0
10000126,730,3,49903.25,1,1,1,0
10000127,641,6,0,2,1,1,0
10000128,650,7,39307.68,2,0,0,1
10000129,734,3,43836.49,2,0,1,0
10000130,675,2,31501.87,1,1,0,0
10000131,623,8,68162.71,3,1,0,0
10000132,788,2,4148.6,1,1,0,0
10000133,694,4,11750.14,2,1,0,0
10000134,513,7,43570.38,2,0,1,0
10000135,633,4,0,1,0,1,0
10000136,655,10,39147,1,1,0,0
10000137,611,3,68769.99,1,1,0,0
10000138,613,4,12263.64,1,1,0,0
10000139,610,4,30257,2,0,0,1
10000140,478,3,0,1,1,0,0
10000141,461,8,30055.99,2,1,1,0
10000142,587,4,0,2,1,1,0
10000143,612,10,43981.72,2,1,1,0
10000144,521,5,0,1,1,0,0
10000145,552,6,16582.79,1,1,1,0
10000146,626,0,39955.74,2,1,0,0
10000147,750,3,0,1,0,1,0
10000148,744,7,66592.6,2,0,0,0
10000149,747,7,43417.57,1,1,1,0
10000150,553,2,20811.23,2,1,1,0
10000151,629,4,67468.56,2,1,1,0
10000152,770,0,2503.29,2,1,0,0
10000153,480,3,34934.77,2,1,1,0
10000154,606,10,4956.07,2,1,1,0
10000155,672,6,29355.19,1,0,1,0
10000156,486,8,66549.8,2,1,1,0
10000157,692,0,50546.16,2,1,1,0
10000158,800,5,50998.03,2,0,0,0
10000159,769,5,0,2,1,0,0
10000160,633,3,11555.73,1,0,0,0
10000161,729,4,44769.43,1,1,1,0
10000162,485,3,31180.86,2,1,0,0
10000163,677,2,41010.23,1,1,1,0
10000164,621,5,48768.49,2,1,0,0
10000165,636,8,73260.66,1,1,0,0
10000166,661,3,71680.98,2,0,1,0
10000167,688,3,35508.11,3,0,1,0
10000168,510,7,11789.25,1,0,0,1
10000169,556,5,0,2,1,0,0
10000170,626,4,0,1,1,1,0
10000171,479,5,74507.88,2,1,1,0
10000172,664,10,70853.16,2,1,1,0
10000173,731,8,53865.38,1,1,0,0
10000174,785,10,9426.89,1,1,0,0
10000175,660,7,30657.48,2,1,1,0
10000176,833,3,30362.27,1,1,0,0
10000177,647,4,45103.38,3,0,1,0
10000178,529,3,23717.08,2,1,1,0
10000179,645,7,0,2,1,0,0
10000180,631,4,0,1,0,0,1
10000181,700,3,74568.21,2,1,1,0
10000182,677,5,39386.48,1,1,1,0
10000183,670,1,33889.56,1,1,1,0
10000184,744,8,46006.45,2,1,1,0
10000185,609,2,5567.47,3,1,1,0
10000186,703,8,43734.23,2,1,1,0
10000187,678,6,0,2,1,0,0
10000188,662,7,45555.9,2,1,1,0
10000189,644,2,36975.67,3,1,1,0
10000190,528,5,0,1,0,0,1
10000191,626,4,2624.41,2,1,1,0
10000192,632,0,59842.36,1,0,0,1
10000193,581,9,19146.24,1,1,1,0
10000194,519,5,53583.53,2,0,0,1
10000195,597,4,0,2,1,0,0
10000196,605,9,60047.88,1,1,0,0
10000197,521,8,20225.29,1,1,1,0
10000198,521,10,65276.24,1,1,1,0
10000199,448,2,61377.11,1,1,0,0
10000200,679,3,14802.23,2,1,0,0
10000201,745,10,0,1,0,0,1
10000202,652,3,1435.39,2,0,0,1
10000203,611,3,57398.24,1,0,1,0
10000204,516,5,40871.28,2,0,0,1
10000205,437,10,23723.27,2,1,1,0
10000206,647,3,19397.46,2,0,0,1
10000207,710,10,40727.75,1,1,0,0
10000208,570,5,72849.09,1,1,1,0
10000209,753,9,55011.27,2,1,0,0
10000210,584,4,22066.43,1,1,1,0
10000211,755,2,18288.57,2,1,1,0
10000212,575,7,27270.06,1,0,0,0
10000213,393,1,66601.72,1,0,0,1
10000214,711,0,28301.18,2,1,0,0
10000215,561,7,39724.29,1,0,0,1
10000216,501,3,46528.66,2,1,1,0
10000217,697,1,55835.26,2,1,0,0
10000218,565,3,60073.08,2,1,0,0
10000219,514,7,7398.9,1,1,0,0
10000220,777,2,47471.36,2,1,0,0
10000221,631,0,0,2,1,1,0
10000222,512,5,38239.38,1,1,1,0
10000223,606,6,65349.23,1,1,0,0
10000224,850,7,57706.48,2,1,1,0
10000225,661,8,14014.19,1,0,1,0
10000226,588,5,52515.17,2,0,0,1
10000227,699,10,54781.69,2,1,1,0
10000228,607,5,66059.21,1,0,0,0
10000229,601,4,72628.91,1,1,1,0
10000230,587,4,0,1,1,1,0
10000231,733,5,33542.7,2,1,1,0
10000232,669,6,61265.85,2,1,0,0
10000233,788,9,67258.16,2,1,1,0
10000234,680,3,17740.66,1,1,1,0
10000235,798,3,13242.05,1,1,1,0
10000236,713,5,51690.33,2,0,1,0
10000237,625,4,30087.42,1,1,0,0
10000238,637,2,47870.97,1,1,1,0
10000239,827,8,63230.43,2,1,1,0
10000240,777,8,0,1,1,0,0
10000241,800,1,9812.34,2,1,0,0
10000242,553,5,48293.88,2,1,0,0
10000243,469,7,69563.36,1,1,0,0
10000244,569,10,0,2,1,1,0
10000245,667,5,0,2,1,0,0
10000246,588,8,21861.75,2,1,1,0
10000247,653,4,34328.13,2,0,0,0
10000248,607,6,15426.71,2,1,1,0
10000249,480,8,0,3,1,1,0
10000250,692,6,45414.24,1,1,1,0
10000251,654,5,0,1,1,0,0
10000252,779,8,73769.52,1,1,1,0
10000253,666,9,54493.69,2,1,1,0
10000254,726,5,6279.32,1,1,1,0
10000255,571,8,0,1,1,1,0
10000256,684,3,13337.27,2,1,0,0
10000257,729,4,27144.01,1,1,1,0
10000258,704,10,36813.44,1,1,0,0
10000259,629,0,8899.25,2,1,0,0
10000260,684,4,0,1,1,1,0
10000261,711,6,59774.04,2,1,1,0
10000262,767,2,0,3,1,1,0
10000263,596,8,0,2,0,1,0
10000264,543,5,24300.73,1,0,1,0
10000265,570,7,43264.56,2,1,0,0
10000266,665,9,36051.12,2,0,0,1
10000267,651,9,73578.98,2,1,1,0
10000268,711,4,16402.57,1,0,1,0
10000269,731,2,59452.69,1,1,1,0
10000270,468,4,0,2,1,0,0
10000271,604,5,55105.07,1,0,0,1
10000272,671,0,54452.41,2,1,1,0
10000273,758,10,5316.44,1,1,1,0
10000274,645,5,57044.43,2,1,0,0
10000275,783,4,37620.09,1,1,0,0
10000276,704,0,0,2,0,1,0
10000277,687,5,31063.88,2,1,0,0
10000278,640,5,14662.25,1,1,0,0
10000279,648,3,70142.83,3,1,1,0
10000280,683,6,9318.04,2,1,1,0
10000281,632,5,0,2,1,0,0
10000282,758,0,74928.93,2,1,1,0
10000283,736,7,6040.2,2,0,1,0
10000284,766,10,58339.25,1,1,1,0
10000285,550,10,19748.57,1,1,1,0
10000286,547,6,21756.57,1,1,1,0
10000287,698,6,36756.06,1,1,1,0
10000288,643,1,0,1,1,0,0
10000289,676,6,61464.91,3,1,1,0
10000290,543,4,18798.87,1,1,1,0
10000291,510,0,54436.28,1,1,0,0
10000292,673,4,37154.98,2,0,0,1
10000293,577,3,45147.19,2,1,0,0
10000294,720,1,35410.73,3,0,0,1
10000295,591,5,48130.7,1,1,1,0
10000296,565,1,21464.14,1,0,1,0
10000297,431,6,55367.56,1,0,1,0
10000298,771,7,71797.83,2,1,1,0
10000299,718,0,33152.51,2,1,1,0
10000300,506,4,25533.84,1,0,1,0
10000301,457,4,45276.28,2,0,1,0
10000302,593,4,5521.99,3,1,1,0
10000303,742,0,13891.63,1,1,0,0
10000304,600,6,0,2,1,0,0
10000305,631,9,61081.11,1,0,0,0
10000306,746,9,53584.42,2,1,1,0
10000307,555,8,44496.52,2,0,1,0
10000308,585,0,17144.38,1,1,0,0
10000309,672,3,63627.02,2,1,0,0
10000310,623,6,13676.08,1,0,0,1
10000311,566,6,58898.27,1,1,1,0
10000312,719,8,22746.02,1,1,1,0
10000313,701,4,28377.73,1,0,1,0
10000314,731,1,6246.65,2,1,0,0
10000315,636,7,21257.61,1,1,0,0
10000316,480,4,44932.01,3,1,0,0
10000317,652,9,0,1,1,0,0
10000318,537,7,73780.05,2,1,1,0
10000319,455,4,0,2,1,0,0
10000320,624,5,68787.39,1,0,0,1
10000321,660,8,69417.23,2,1,0,0
10000322,805,7,19216.55,1,1,1,0
10000323,534,5,66270.46,2,1,1,0
10000324,716,6,38640.8,1,1,1,0
10000325,496,4,0,2,0,1,0
10000326,773,6,54660.46,2,1,1,0
10000327,583,5,63461.77,2,1,0,0
10000328,618,2,0,2,0,1,0
10000329,619,6,20284.11,1,0,0,0
10000330,724,7,73860.19,1,1,0,0
10000331,510,8,0,2,1,1,0
10000332,633,0,60270.28,1,0,0,1
10000333,589,6,61227.73,1,1,1,0
10000334,850,4,20641.54,2,1,1,0
10000335,546,7,17612.85,1,1,1,0
10000336,401,1,0,1,1,0,0
10000337,814,9,73560.15,1,1,0,0
10000338,698,2,0,2,1,1,0
10000339,574,4,53389.52,2,1,1,0
10000340,647,10,20069.68,2,1,0,0
10000341,573,5,41699.12,2,0,0,1
10000342,461,8,12353.88,2,1,0,0
10000343,635,6,0,1,1,1,0
10000344,634,9,35025.88,1,1,1,0
10000345,683,7,9313.92,2,1,0,0
10000346,556,3,64844.26,3,1,0,0
10000347,576,0,46950.64,2,0,0,1
10000348,614,1,57486.53,2,1,0,0
10000349,556,4,17837.54,2,1,1,0
10000350,760,7,0,2,1,1,0
10000351,733,8,73565.99,2,1,1,0
10000352,601,5,51002.76,1,1,0,0
10000353,702,5,22944.28,1,1,1,0
10000354,531,0,0,1,1,1,0
10000355,606,4,72486.3,1,1,0,0
10000356,792,5,51541.4,1,0,0,0
10000357,713,6,47958.12,1,1,0,0
10000358,678,4,73641.41,1,0,0,1
10000359,616,4,40008.72,1,1,0,0
10000360,646,10,12599.93,2,1,1,0
10000361,509,1,46688.75,2,1,0,0
10000362,619,9,46898.27,2,0,1,0
10000363,687,7,61044.37,1,1,0,0
10000364,648,5,24230.8,2,1,1,0
10000365,648,10,20446.83,2,1,0,0
10000366,587,5,289.22,2,1,0,0
10000367,563,3,42158.82,1,1,1,0
10000368,554,6,71150.28,3,0,0,0
10000369,626,8,35672.08,2,1,1,0
10000370,721,7,28855.65,1,1,0,0
10000371,568,3,48791.79,1,0,0,1
10000372,654,7,0,2,1,1,0
10000373,652,0,0,2,0,1,0
10000374,740,9,0,2,0,0,0
10000375,652,7,0,2,0,1,0
10000376,507,0,46917.59,2,0,1,0
10000377,850,3,0,2,1,1,0
10000378,744,9,20255.12,3,1,1,0
10000379,697,4,54772.27,1,1,1,0
10000380,595,5,39876.95,2,1,1,0
10000381,620,9,61530.03,1,1,0,0
10000382,513,3,53386.77,2,1,1,0
10000383,618,0,11810.67,2,0,1,0
10000384,668,9,57194.41,2,1,1,0
10000385,648,4,18542.55,1,1,0,0
10000386,820,5,44563.63,2,0,0,1
10000387,715,4,64232.94,2,1,1,0
10000388,745,4,45241.13,3,0,0,1
10000389,703,3,17824.33,2,1,0,0
10000390,666,4,6264.54,2,1,0,0
10000391,694,2,29492.04,1,1,1,0
10000392,459,9,44410.94,1,1,0,0
10000393,625,9,9303.03,2,1,1,0
10000394,515,7,57060.81,1,0,1,0
10000395,536,7,0,1,1,0,0
10000396,766,0,44527.45,2,1,1,0
10000397,546,8,28585.33,2,1,1,0
10000398,523,4,0,2,1,1,0
10000399,688,9,0,1,1,1,0
10000400,644,10,0,1,1,0,0
10000401,694,4,24076.86,2,1,0,0
10000402,820,0,16522.97,1,0,1,0
10000403,706,6,0,1,1,1,0
10000404,501,2,69125.8,2,1,1,0
10000405,741,3,62800.43,2,1,0,0
10000406,629,4,0,1,0,0,1
10000407,667,8,26474.86,1,1,0,0
10000408,491,6,0,1,1,1,0
10000409,699,9,68592.05,2,1,1,0
10000410,525,3,53135.51,2,0,0,0
10000411,702,8,59079.51,2,1,0,0
10000412,581,7,5103.46,3,1,1,0
10000413,720,7,64269.88,2,1,1,0
10000414,525,8,38013.55,2,1,1,0
10000415,500,7,45229.56,2,0,0,1
10000416,598,0,4010.55,2,1,0,0
10000417,676,3,51256.13,2,1,0,0
10000418,540,8,61037.23,3,1,1,0
10000419,670,6,48396.42,1,0,0,1
10000420,735,8,47837.97,1,0,1,0
10000421,523,6,51186.41,1,1,0,0
10000422,670,3,38429.46,1,1,1,0
10000423,703,3,13134.75,2,1,1,0
10000424,632,0,61581.31,2,0,0,1
10000425,643,7,72200.49,3,0,0,1
10000426,514,1,14698.09,2,1,1,0
10000427,693,5,5335.39,2,1,1,0
10000428,656,5,8937.24,2,0,1,0
10000429,665,8,71386.21,1,1,1,0
10000430,850,10,35818.47,1,1,1,0
10000431,631,4,74242.48,2,1,1,0
10000432,682,7,2259.61,1,0,1,0
10000433,775,5,0,1,1,1,0
10000434,646,2,41593.51,2,1,1,0
10000435,581,8,28250.87,2,0,1,0
10000436,689,6,56099.97,2,1,0,0
10000437,584,7,15806.18,1,1,1,0
10000438,766,8,8206.52,2,1,1,0
10000439,700,8,34901.17,2,1,0,0
10000440,567,5,0,1,1,0,0
10000441,530,8,0,2,1,1,0
10000442,666,5,0,2,1,1,0
10000443,675,2,42250.16,2,1,1,0
10000444,530,6,0,2,1,0,0
10000445,726,9,73596.14,1,1,0,0
10000446,715,3,45247.57,3,1,0,0
10000447,684,0,40393.86,1,1,1,0
10000448,724,5,24381.84,1,1,1,0
10000449,555,2,69161.25,2,1,1,0
10000450,561,3,29768.05,1,1,0,0
10000451,625,5,48410.51,1,0,0,1
10000452,589,0,0,1,1,0,0
10000453,699,4,70879.32,2,0,0,1
10000454,728,4,23966.49,2,1,0,0
10000455,583,10,11005.22,1,1,1,0
10000456,567,5,14504.6,2,0,0,1
10000457,733,10,57938.54,2,1,0,0
10000458,556,9,28044.38,1,1,0,0
10000459,623,6,21546.04,1,1,1,0
10000460,553,6,32383.08,2,1,0,0
10000461,593,6,34582.86,2,0,0,1
10000462,505,5,54283.12,2,0,0,1
10000463,774,1,31856.15,2,1,0,0
10000464,748,6,9852.31,2,0,0,1
10000465,573,5,11883.38,1,0,0,1
10000466,695,6,51126.19,2,0,0,1
10000467,512,10,66434.6,1,1,1,0
10000468,711,4,26441.7,2,1,0,0
10000469,565,2,63570.22,2,1,0,0
10000470,768,3,62685.72,2,1,0,0
10000471,700,7,0,1,1,1,0
10000472,615,6,23002.47,1,1,1,0
10000473,611,5,0,2,0,0,1
10000474,664,1,21616.69,1,1,0,0
10000475,561,8,59656.73,1,0,1,0
10000476,759,3,72484.18,1,0,0,0
10000477,680,6,59402.81,1,1,1,0
10000478,744,5,48927.97,2,1,0,0
10000479,414,0,0,2,1,1,0
10000480,652,6,20379.95,1,1,1,0
10000481,675,2,0,1,1,0,0
10000482,650,6,41262.37,2,1,0,0
10000483,653,3,57066.93,2,1,0,0
10000484,619,4,0,2,1,0,0
10000485,850,7,30852.77,2,1,0,0
10000486,674,1,23297.74,2,1,1,0
10000487,662,10,37507.74,2,1,1,0
10000488,741,3,0,2,1,1,0
10000489,596,7,39867.08,3,0,1,0
10000490,526,8,38013.73,2,1,0,0
10000491,738,9,37601.49,1,0,0,1
10000492,618,3,53480.94,2,0,1,0
10000493,782,3,32087.66,2,0,0,1
10000494,776,8,24492.71,1,1,0,0
10000495,426,7,19299.17,1,1,0,0
10000496,658,7,49885.75,2,0,1,0
10000497,755,9,16958.14,2,1,0,0
10000498,481,5,43487.84,1,1,0,0
10000499,686,6,41246,1,1,0,0
10000500,714,9,70453.01,1,1,0,0
10000501,645,6,57928.76,1,1,0,0
10000502,646,2,58058.99,2,0,0,0
10000503,766,2,54613.53,3,1,1,0
10000504,506,4,0,1,1,0,0
10000505,731,6,51452.66,1,1,1,0
10000506,695,8,23546.35,1,0,0,0
10000507,776,10,64704.85,1,0,0,1
10000508,559,4,56856.12,2,1,1,0
10000509,793,1,72578.83,1,0,1,0
10000510,516,0,57300.35,3,0,1,0
10000511,619,4,47749.97,1,1,1,0
10000512,538,5,56489.1,1,0,0,1
10000513,721,7,0,1,1,0,0
10000514,577,10,0,1,0,0,0
10000515,760,7,45877.13,2,1,0,0
10000516,487,5,27041.63,1,1,1,0
10000517,607,8,50163.65,2,1,1,0
10000518,823,0,58715.36,2,1,1,0
10000519,577,6,64707.48,1,0,1,0
10000520,753,0,40676.3,2,1,0,0
10000521,718,9,15540.57,2,0,1,0
10000522,524,1,13217.32,2,1,0,0
10000523,671,8,48108.12,1,0,0,1
10000524,798,7,43636.53,1,1,1,0
10000525,611,9,28543.89,1,1,1,0
10000526,584,2,51373.41,2,1,0,0
10000527,682,5,0,1,1,0,0
10000528,630,8,6107.66,2,0,0,0
10000529,506,6,54926.13,3,1,1,0
10000530,629,6,18003.85,2,0,1,0
10000531,604,7,43673.71,2,1,1,0
10000532,638,4,67115.45,1,1,0,0
10000533,418,2,56996.59,2,0,0,1
10000534,686,3,37522.73,1,1,0,0
10000535,493,5,68918.13,1,0,0,1
10000536,723,3,0,1,0,0,1
10000537,754,4,20809.46,1,1,0,0
10000538,459,5,0,1,0,1,0
10000539,776,9,0,2,0,0,1
10000540,639,2,12145.81,1,1,1,0
10000541,755,3,1279.37,1,1,1,0
10000542,741,5,39530.48,1,1,1,0
10000543,511,2,52622.02,1,1,1,0
10000544,568,0,56539.29,1,1,1,0
10000545,807,3,67406.52,2,0,0,1
10000546,531,4,49795.31,2,1,0,0
10000547,685,6,15292.43,1,0,0,1
10000548,577,2,64900.18,1,0,0,1
10000549,563,10,3267.92,2,1,0,0
10000550,649,7,0,2,1,1,0
10000551,850,2,0,1,0,1,0
10000552,725,3,38641.81,1,1,1,0
10000553,549,3,22560.62,2,1,0,0
10000554,669,2,25380.71,2,1,1,0
10000555,471,8,60499.37,1,1,1,0
10000556,433,2,36985.66,1,1,1,0
10000557,667,5,59118.86,2,0,0,1
10000558,720,4,32801.29,2,0,0,1
10000559,801,4,11629.82,1,0,0,1
10000560,687,8,40005.41,3,1,1,0
10000561,651,6,0,2,1,1,0
10000562,618,6,0,1,1,1,0
10000563,702,6,11544.59,2,0,0,1
10000564,533,6,55515.03,1,1,1,0
10000565,585,2,55061.62,1,1,0,0
10000566,536,3,26496.48,1,1,0,0
10000567,600,6,72012.41,2,1,1,0
10000568,580,3,35987.19,2,1,1,0
10000569,574,4,46146.77,2,1,0,0
10000570,589,6,53656.71,2,1,0,0
10000571,671,8,19010.66,1,1,1,0
10000572,773,7,73646.89,2,0,0,1
10000573,678,10,40026.85,1,1,1,0
10000574,595,5,35139.26,2,1,1,0
10000575,693,5,20761.01,1,1,1,0
10000576,661,3,24788.73,1,1,1,0
10000577,667,7,56959.28,1,0,0,1
10000578,648,9,69784.76,2,1,0,0
10000579,817,3,34787.75,2,0,0,1
10000580,660,6,0,2,0,1,0
10000581,596,8,0,2,1,1,0
10000582,575,3,26758.69,1,0,1,0
10000583,738,7,34563.4,1,1,1,0
10000584,536,7,63868.7,2,1,1,0
10000585,782,0,19874.39,2,0,0,0
10000586,465,3,6384.22,2,1,0,0
10000587,769,2,0,2,1,0,0
10000588,728,4,64416,1,1,0,0
10000589,608,4,40201.16,3,1,1,0
10000590,578,5,2407.09,2,1,1,0
10000591,770,8,68847.7,2,1,0,0
10000592,824,9,0,2,1,1,0
10000593,591,6,24294.67,2,0,0,1
10000594,707,9,0,2,1,1,0
10000595,745,7,395.74,3,1,1,0
10000596,709,5,20754.18,1,0,0,1
10000597,656,9,73822.79,1,0,1,0
10000598,613,5,44852.23,1,1,1,0
10000599,677,6,73075.62,1,1,1,0
10000600,449,2,56913.62,1,1,0,0
10000601,780,6,14563.87,1,1,1,0
10000602,486,6,0,1,0,0,1
10000603,569,8,0,1,1,1,0
10000604,618,4,18767.81,2,1,1,0
10000605,554,3,30108.75,2,1,1,0
10000606,541,6,29174.83,1,1,1,0
10000607,787,7,50768.21,2,0,0,1
10000608,824,4,21269.42,2,1,1,0
10000609,800,3,18484.93,1,1,0,0
10000610,731,4,65713.7,2,1,1,0
10000611,850,10,62983.18,1,1,1,0
10000612,625,2,0,2,1,1,0
10000613,616,2,0,1,1,0,0
10000614,652,10,72302.54,3,1,1,0
10000615,789,5,0,1,1,1,0
10000616,707,1,61882.47,1,1,0,0
10000617,817,1,0,2,0,0,1
10000618,657,7,54242.4,2,1,0,0
10000619,506,6,20955.1,1,1,0,0
10000620,585,7,12672.93,1,1,1,0
10000621,750,3,47528.01,1,1,0,0
10000622,603,2,49946.56,1,0,0,1
10000623,660,7,53786.03,1,0,0,1
10000624,674,2,0,1,0,1,0
10000625,825,5,73536.6,1,0,1,0
10000626,736,2,38424.01,1,0,1,0
10000627,717,10,0,2,0,1,0
10000628,666,8,67108.62,1,1,1,0
10000629,570,10,74602.67,2,0,0,0
10000630,674,7,6806.29,1,0,0,1
10000631,850,6,23275.38,1,1,1,0
10000632,700,7,0,1,0,0,1
10000633,597,0,55391.19,1,1,1,0
10000634,610,0,31991.1,2,0,0,1
10000635,788,7,48886.71,1,0,0,1
10000636,599,3,51805.4,2,1,1,0
10000637,631,5,27693.49,2,1,0,0
10000638,540,0,38325.94,1,1,0,0
10000639,624,4,61270.73,1,1,0,0
10000640,696,4,0,1,1,0,0
10000641,622,8,37679.25,2,1,1,0
10000642,653,5,0,2,1,1,0
10000643,539,1,1717.74,1,1,0,0
10000644,597,4,31800.59,2,1,1,0
10000645,850,8,74782.35,1,0,0,0
10000646,638,4,21893.1,2,0,1,0
10000647,686,8,47439.45,1,1,1,0
10000648,573,3,41536.13,1,1,0,0
10000649,656,6,40588.87,3,1,1,0
10000650,624,5,50077.54,3,0,0,0
10000651,757,5,50423.13,3,1,1,0
10000652,752,1,53172.21,1,1,1,0
10000653,762,0,43951.62,1,1,0,0
10000654,658,6,6678.73,2,1,1,0
10000655,848,5,63584.76,2,0,0,1
10000656,728,3,23956.13,1,1,1,0
10000657,512,2,23437.24,2,1,1,0
10000658,800,9,73161.4,1,1,0,0
10000659,650,8,67784.99,1,1,1,0
10000660,761,7,18494.09,2,1,0,0
10000661,549,10,56252.18,1,1,1,0
10000662,644,2,0,1,1,1,0
10000663,723,6,3369.02,1,1,1,0
10000664,674,1,11943.28,2,0,1,0
10000665,636,4,20159.29,2,1,1,0
10000666,413,4,0,2,1,1,0
10000667,579,3,71399.84,1,1,1,0
10000668,556,5,27198.23,2,1,0,0
10000669,471,10,17771.26,2,1,0,0
10000670,582,6,66333.56,2,0,0,1
10000671,830,8,27580.35,1,0,1,0
10000672,762,5,0,2,0,1,0
10000673,570,0,21794.12,2,1,1,0
10000674,594,3,17283.37,1,0,0,1
10000675,594,3,67754,2,0,0,1
10000676,724,5,2342.72,2,1,0,0
10000677,690,7,22714.48,2,1,1,0
10000678,582,7,52478.34,1,1,0,0
10000679,593,6,59338.77,2,1,0,0
10000680,755,8,39663.7,2,1,0,0
